,lordo_speed,out_speed,volume,gaps,colb,gr,mano,h1,h2,h3,fr_cu_pm_nb,r1_p_b,tool,layers,ff_cf,sin_st,gr_cat
12019,166.27426568678732,115.49703209640947,2000.0,320.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12119,151.14062499999997,76.35937499999999,5000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12219,167.5589432016938,112.13916965847372,4000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12319,113.35509304772177,47.83850904839365,4000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12419,164.75892857142856,137.85044642857142,4000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12519,200.91304347826087,141.6086956521739,3000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
12619,130.37204557498674,90.55500794912558,3000.0,144.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
13219,150.6990379022422,125.48574655220939,5000.0,544.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
13319,173.35823344233268,157.11019080159704,5000.0,640.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
13419,108.49198717948718,83.57211538461539,5000.0,64.0,Q,65.0,0.93,1080.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
13519,144.94941898745358,120.47103725151652,5000.0,960.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
13619,161.57045135952293,134.87869115094958,5000.0,1080.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
13719,217.41666666666666,147.5,5000.0,64.0,Q,65.0,0.94,1080.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
13819,208.5249295954941,161.35443868407577,5000.0,200.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
14019,166.50635665409857,117.534554748181,4000.0,608.0,Q,65.0,0.94,1350.0,810,810,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
14119,184.6206896551724,152.89655172413794,4000.0,48.0,Q,65.0,1.0,810.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
14219,152.98278665587446,85.7493161677605,4000.0,800.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
14319,87.32900432900432,38.785353535353536,4000.0,48.0,Q,65.0,1.0,810.0,,,Staple,,T5,4,CF,singolo,"(56.0, 66.0]"
21019,94.5580065359477,52.002450980392155,1500.0,192.0,Q,60.0,1.0,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
21419,132.52941176470586,81.29411764705881,,,,,,,,,,,,,,,
21519,217.4733445132439,182.07622979016168,1500.0,288.0,N,75.0,1.27,1170.0,,,Bulb,,T5,6,FF,singolo,"(66.0, 78.0]"
22419,122.97784037558685,80.58131008271855,,,,,,,,,,,,,,,
24319,137.23838726104285,125.02706518670564,30000.0,128.0,Q,70.0,1.0,1104.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
24419,151.91170686634376,111.88366818822927,40000.0,128.0,Q,70.0,1.24,1360.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
24419,151.91170686634376,111.88366818822927,40000.0,128.0,Q,70.0,1.24,1360.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
24419,151.91170686634376,111.88366818822927,40000.0,128.0,Q,70.0,1.24,1360.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
24419,151.91170686634376,111.88366818822927,40000.0,128.0,Q,70.0,1.24,1360.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
25019,174.53627713351176,148.0107047279215,8000.0,144.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
26219,109.06946671635087,74.61522926609071,850.0,1872.0,N+1,37.0,1.2,1264.0,,,Smooth,P661C,T5,6,FF,singolo,"(0.0, 56.0]"
29019,119.67045399876774,90.88189808338534,2200.0,3160.0,N+1,32.0,1.15,1372.0,,,Groove,P485,T5,4,FF,stecca,"(0.0, 56.0]"
29819,98.38792688792688,78.30399230399229,1000.0,576.0,N,70.0,1.3,1100.0,,,Smooth,,T5,4,CF,singolo,"(66.0, 78.0]"
30219,119.3321978671181,99.87246736005113,8000.0,192.0,Q,70.0,1.25,1080.0,,,Groove,,T5,4,CF,singolo,"(66.0, 78.0]"
30419,154.5279875535733,135.81399237920442,5000.0,1168.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
30519,135.05272473195149,128.33100420750412,20000.0,272.0,Q,54.0,1.1,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
31519,148.5929809977604,114.39574074312125,4000.0,560.0,Q,65.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
31619,139.22309941520467,87.6842105263158,4000.0,160.0,Q,65.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
32119,126.24868856633562,94.29508888084739,1500.0,880.0,Q,55.0,1.1,1370.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
32219,136.02083333333331,86.9375,1500.0,128.0,Q,80.0,0.81,1080.0,,,Groove,,T5,4,CF,singolo,
32319,109.51782765737873,76.05897832817337,1500.0,256.0,Q,80.0,1.0,1080.0,,,Groove,,T5,4,CF,singolo,
33019,158.00559790117094,121.41402933132434,10500.0,608.0,Q,65.0,0.94,1350.0,810,810,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
33219,177.80758458850858,166.15115281583238,3000.0,720.0,Q,65.0,0.94,1350.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
33319,145.24404761904762,77.58095238095238,3000.0,128.0,Q,65.0,0.93,1080.0,,,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
33419,202.80734844876295,128.6065912458898,3000.0,592.0,Q,65.0,0.94,1350.0,1080,1080,Groove,,T5,4,CF,singolo,"(56.0, 66.0]"
34819,132.77299373490123,107.22215062681425,30000.0,128.0,Q,70.0,1.0,1104.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
34919,132.7644439195927,113.5005216218726,20000.0,128.0,Q,70.0,1.0,1104.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
35019,184.5017403894594,166.77135653231147,30000.0,128.0,Q,70.0,1.0,1104.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
35119,190.0551181102362,173.007874015748,20000.0,128.0,Q,70.0,1.0,1104.0,,,Staple,,T5,4,CF,singolo,"(66.0, 78.0]"
42719,143.2325550187869,123.58937198067633,2800.0,112.0,Q,80.0,1.3,1072.0,812,812,Smooth,,T5,4,CF,singolo,
42819,200.61,181.95000000000002,5000.0,112.0,Q,80.0,1.3,1072.0,812,812,Smooth,,T5,4,CF,singolo,
43119,252.95017105896042,222.17959243902777,18200.0,240.0,Q,80.0,0.92,1300.0,,,Groove,,T5,4,CF,singolo,
44719,154.60340351160386,109.3581379693326,7000.0,800.0,Q,54.0,1.1,1350.0,,,Groove,,T5,4,CF,singolo,"(0.0, 56.0]"
